Date,Spread,Mcap,P/B,P/E,Close,Volatility,30y_yield,AA Yield,Mkt_rf,smb,hml,rf,Yield,3m,Inflation
1991-01-04,1.36,1.889M,1.8158,14.6892,321,11.9,8.207,9.02,-2.04,1.77,1.83,0.129,3.68,6.721,6.1
1991-01-11,1.46,1.857M,1.7845,14.4307,315.23,13.57,8.358,9.05,-1.93,-0.04,-0.35,0.129,,6.334,
1991-01-18,1.43,1.958M,1.8831,15.2153,332.23,16.98,8.167,9.08,4.68,-3.27,-1.87,0.129,,6.239,
1991-01-25,1.39,1.988M,1.9056,15.3854,336.07,17.21,8.227,9.05,1.7,3.27,-0.81,0.129,,6.345,
1991-02-01,1.34,2.038M,1.9404,15.6226,343.05,17.36,8.091,9,2.7,3.81,-0.68,0.119,3.72,6.157,5.7
1991-02-08,1.26,2.136M,2.0306,16.3612,359.35,18.42,7.958,8.87,4.69,-0.48,-0.32,0.119,,6.084,
1991-02-15,1.23,2.189M,2.0865,16.8035,369.06,18.2,7.977,8.77,2.66,1.07,-0.01,0.119,,6.072,
1991-02-22,1.22,2.169M,2.068,16.6638,365.65,18.22,8.061,8.81,-0.74,1.16,-1.07,0.119,,6.115,
1991-03-01,1.24,2.199M,2.0905,16.8546,370.47,15.84,8.288,8.85,1.36,0.68,0.41,0.11,3.34,6.279,5.3
1991-03-08,1.19,2.222M,2.1154,17.0586,374.95,16.09,8.31,8.92,1.56,2.77,-1.32,0.11,,6.142,
1991-03-15,1.14,2.216M,2.1134,17.0405,373.59,16.38,8.288,8.91,-0.72,-1.12,0.86,0.11,,5.965,
1991-03-22,1.16,2.18M,2.0781,16.7684,367.48,15.66,8.308,8.97,-1.3,1.53,-0.1,0.11,,6.059,
1991-03-29,1.14,2.23M,2.1202,17.078,375.22,13.62,8.246,8.92,2.23,0.81,-0.67,0.11,,5.933,
1991-04-05,1.12,2.226M,2.1257,17.5291,375.36,15,8.166,8.86,0.52,1.64,-0.87,0.133,3.25,5.871,4.9
1991-04-12,1.09,2.265M,2.1546,17.7878,380.4,15.06,8.153,8.87,1.06,-0.05,0.28,0.133,,5.672,
1991-04-19,1.12,2.284M,2.1771,17.9741,384.2,15.3,8.245,8.81,0.8,-0.48,1.2,0.133,,5.923,
1991-04-26,1.04,2.253M,2.1449,17.717,379.02,15.1,8.211,8.89,-1.53,0.1,0.1,0.133,,5.766,
1991-05-03,1,2.262M,2.1497,17.7469,380.8,15.36,8.227,8.83,0.28,-0.58,0.38,0.118,3.19,5.62,4.9
1991-05-10,1,2.231M,2.12,17.5242,375.74,15.94,8.306,8.83,-1.04,1.2,-0.31,0.118,,5.609,
1991-05-17,1.02,2.211M,2.1026,17.3866,372.39,14.91,8.279,8.89,-1.23,-1.08,0.6,0.118,,5.568,
1991-05-24,1.03,2.243M,2.1316,17.6465,377.49,14.1,8.306,8.86,1.45,-0.25,-0.61,0.118,,5.567,
1991-05-31,0.98,2.318M,2.1946,18.1072,389.83,13.53,8.265,8.87,3,-0.43,0.2,0.118,3.21,5.693,5
1991-06-07,0.99,2.257M,2.1363,17.6241,379.43,13.68,8.476,8.93,-2.21,1.86,1.2,0.104,,5.724,
1991-06-14,0.99,2.276M,2.155,17.7889,382.29,13.49,8.47,9.01,0.33,-1.28,-0.19,0.104,,5.756,
1991-06-21,0.93,2.249M,2.1294,17.5798,377.75,11.88,8.51,9.05,-1.33,-0.2,0.31,0.104,,5.735,
1991-06-28,0.91,2.21M,2.0884,17.2898,371.16,12.3,8.406,9.04,-1.79,-0.28,-0.12,0.104,,5.693,
1991-07-05,0.88,2.229M,2.0935,18.9871,374.08,13.63,8.495,9.03,0.64,-1.05,-0.67,0.122,3.21,5.745,4.7
1991-07-12,0.92,2.267M,2.1282,19.3229,380.25,13.05,8.442,9.04,1.74,0.39,-0.75,0.122,,5.724,
1991-07-19,0.93,2.291M,2.1517,19.5468,384.22,12.97,8.474,8.99,0.99,0.52,0.82,0.122,,5.745,
1991-07-26,0.87,2.271M,2.1332,19.393,380.93,12.24,8.388,8.97,-0.99,-0.33,0.51,0.122,,5.745,
1991-08-02,0.87,2.311M,2.1574,19.529,387.18,12,8.244,8.93,1.7,-0.04,-1.44,0.115,3.21,5.651,4.4
1991-08-09,0.87,2.314M,2.1558,19.5061,387.12,11.06,8.22,8.82,0.17,0.27,-0.02,0.115,,5.474,
1991-08-16,0.89,2.302M,2.1468,19.4188,385.58,9.27,8.088,8.73,-0.2,0.55,0.64,0.115,,5.39,
1991-08-23,0.93,2.356M,2.1963,19.8638,394.17,14.6,8.125,8.69,1.85,-0.56,-0.5,0.115,,5.547,
1991-08-30,0.9,2.364M,2.2113,20.1135,395.43,14.42,8.06,8.7,0.48,0.94,-0.64,0.115,,5.484,
1991-09-06,0.91,2.325M,2.1741,19.7896,389.1,14.42,8.015,8.67,-1.7,0.56,0.18,0.114,3.14,5.453,3.8
1991-09-13,0.91,2.291M,2.1409,19.518,383.59,14.81,7.94,8.63,-1.27,0.92,-0.56,0.114,,5.307,
1991-09-20,0.9,2.318M,2.168,19.7646,387.92,14.09,7.892,8.6,1.3,0.19,-1.07,0.114,,5.338,
1991-09-27,0.91,2.306M,2.157,19.6584,385.9,13.88,7.821,8.56,-0.45,-0.17,0.36,0.114,,5.276,
1991-10-04,0.93,2.283M,2.1281,20.9684,381.24,8.16,7.783,8.49,-1.06,0.45,-0.02,0.106,3.17,5.151,3.4
1991-10-11,0.93,2.287M,2.1293,20.9988,381.45,8.91,7.867,8.5,-0.28,-0.56,0.06,0.106,,5.108,
1991-10-18,0.91,2.365M,2.1915,21.6028,392.5,10.22,7.955,8.54,2.99,0.49,-0.25,0.106,,5.161,
1991-10-25,0.98,2.317M,2.1453,21.1465,384.2,9.59,8.046,8.63,-2.19,0.34,0.21,0.106,,5.109,
1991-11-01,0.94,2.361M,2.1784,21.6675,391.32,10.46,7.93,8.58,2.07,0.39,-0.79,0.098,3.17,4.88,2.9
1991-11-08,0.95,2.367M,2.185,21.7494,392.89,10.79,7.872,8.55,0.6,0.13,-0.01,0.098,,4.744,
1991-11-15,0.99,2.317M,2.1307,21.2023,382.62,15.32,7.821,8.43,-2.55,0.14,0.16,0.098,,4.693,
1991-11-22,0.98,2.276M,2.0954,20.8683,376.14,15.31,7.981,8.46,-1.74,-0.5,-1.31,0.098,,4.537,
1991-11-29,0.99,2.285M,2.0971,20.8515,375.22,14.91,7.942,8.46,-0.25,-0.41,-0.51,0.098,,4.464,
1991-12-06,0.98,2.31M,2.1205,21.1049,379.09,15.74,7.806,8.39,1.14,-0.15,-2.58,0.095,3.17,4.35,3
1991-12-13,0.95,2.339M,2.149,21.3856,384.47,15.52,7.774,8.35,1.09,-1.22,-0.36,0.095,,4.257,
1991-12-20,0.95,2.357M,2.1661,21.6056,387.04,15.64,7.589,8.31,0.35,-0.84,-1.42,0.095,,3.821,
1991-12-27,0.92,2.475M,2.2762,22.7492,406.46,17.77,7.513,8.22,5.18,-0.55,0.82,0.095,,3.956,
1992-01-03,0.94,2.552M,2.3419,26.9632,419.34,13.21,7.48,8.17,3.12,1.09,0.6,0.085,3.14,3.946,3.1
1992-01-10,0.91,2.526M,2.3195,26.6666,415.1,12.84,7.462,8.14,0.02,3.86,-0.93,0.085,,3.925,
