Date,Spread,Mcap,Value,P/E,Close,Volatility,30y_yield
10/01/20,0.83,26.624M,3.5144,21.0649,3265.35,8.01,2.2786
03/01/20,0.86,26.392M,3.4817,20.868,3234.85,7.87,2.2444
27/12/19,0.87,26.434M,3.6462,21.5248,3240.02,7.23,2.316
20/12/19,0.88,26.252M,3.6131,21.3521,3221.22,7.2,2.3421
13/12/19,0.87,25.823M,3.5543,21.0046,3168.8,6.9,2.2524
06/12/19,0.88,25.629M,3.5267,20.8507,3145.91,7.11,2.2774
29/11/19,0.91,25.584M,3.5204,20.81,3140.98,5.75,2.2054
22/11/19,0.88,25.334M,3.487,20.5663,3110.29,6.07,2.2209
15/11/19,0.86,25.40M,3.4955,20.5778,3120.46,8.72,2.3047
08/11/19,0.89,25.179M,3.4649,20.395,3093.08,12.14,2.4243
01/11/19,0.89,25.002M,3.4346,20.2132,3066.91,12.77,2.1897
25/10/19,0.94,24.686M,3.3934,19.9169,3022.55,12.42,2.287
18/10/19,0.92,24.418M,3.3526,19.6789,2986.2,12.36,2.2492
11/10/19,0.92,24.305M,3.3347,19.5738,2970.27,13.08,2.1941
04/10/19,0.89,24.16M,3.3142,19.4537,2952.01,12.3,2.0151
27/09/19,0.88,24.226M,3.3886,19.4873,2961.79,13.12,2.1286
20/09/19,0.89,24.442M,3.4172,19.606,2992.07,17.14,2.1616
13/09/19,0.87,24.558M,3.4347,19.7062,3007.39,20.66,2.3708
06/09/19,0.9,24.326M,3.4022,19.5186,2978.71,21.14,2.025
30/08/19,0.91,23.902M,3.3425,19.1898,2926.46,20.72,1.9626
23/08/19,0.94,23.254M,3.2525,18.6229,2847.11,20,2.0252
16/08/19,0.88,23.593M,3.3001,18.8984,2888.68,17.96,2.0348
09/08/19,0.86,23.841M,3.3344,19.0941,2918.65,14.29,2.2586
02/08/19,0.89,23.973M,3.3517,19.1856,2932.05,8.99,2.382
26/07/19,0.95,24.697M,3.454,19.7653,3025.86,8.21,2.5922
19/07/19,0.99,24.315M,3.3978,19.4414,2976.61,7.74,2.5792
12/07/19,1.03,24.647M,3.4452,19.7046,3013.77,9.48,2.6467
05/07/19,1.05,24.456M,3.4186,19.5519,2990.41,11.26,2.5419
28/06/19,1.05,24.045M,3.3758,19.4767,2941.76,12.17,2.5291
21/06/19,1.05,24.109M,3.386,19.4933,2950.46,14.51,2.5841
14/06/19,1.04,23.594M,3.3132,19.0727,2886.98,14.93,2.5856
07/06/19,1.02,23.473M,3.2958,18.9818,2873.34,15.26,2.572
31/05/19,0.98,22.49M,3.1889,18.187,2752.06,13.14,2.5685
24/05/19,0.97,23.097M,3.2743,18.6501,2826.06,12.35,2.7512
17/05/19,0.95,23.375M,3.3133,18.8719,2859.53,11.75,2.8253
10/05/19,0.94,23.545M,3.3383,19.0168,2881.4,8.82,2.8867
03/05/19,0.93,24.067M,3.4116,19.4036,2945.64,7.27,2.9186
26/04/19,0.98,24.069M,3.4053,19.3386,2939.88,9.39,2.9233
12/04/19,1.03,23.806M,3.369,19.1256,2907.41,10.76,2.9769
05/04/19,1.05,23.692M,3.3519,19.0287,2892.74,10.73,2.9032
29/03/19,1.05,23.227M,3.3571,18.8601,2834.4,10.39,2.8143
22/03/19,1.06,22.954M,3.3185,18.6335,2800.71,11.01,2.8739
15/03/19,1.06,23.16M,3.342,18.7758,2822.48,9.34,3.0111
08/03/19,1.07,22.51M,3.2481,18.2481,2743.07,9.89,3.0119
01/03/19,1.09,23.009M,3.3198,18.6522,2803.69,10.88,3.1226
22/02/19,1.13,22.951M,3.3065,18.5543,2792.67,11.27,3.0159
15/02/19,1.19,22.85M,3.2867,18.4434,2775.6,11.32,2.9936
08/02/19,1.2,22.311M,3.207,17.9865,2707.88,16.61,2.9802
01/02/19,1.23,22.315M,3.203,17.9903,2706.53,24.96,3.0253
25/01/19,1.23,21.998M,3.1522,17.7197,2664.76,26.54,3.0662
18/01/19,1.19,22.034M,3.1593,17.7611,2670.71,27.07,3.0974
11/01/19,1.16,21.413M,3.0657,17.2355,2596.26,28.41,3.0334
04/01/19,1.14,20.882M,2.9898,16.8087,2531.94,29.5,2.981
28/12/18,1.13,20.479M,2.9678,16.8874,2485.74,27.4,3.0222
21/12/18,1.13,19.954M,2.8804,16.3714,2416.62,21.38,3.0308
14/12/18,1.12,21.458M,3.0988,17.6132,2599.95,21.09,3.1433
07/12/18,1.08,21.731M,3.1382,17.8367,2633.08,22.12,3.1403
30/11/18,1.07,22.827M,3.2913,18.7104,2760.17,21.35,3.29
23/11/18,1.03,21.742M,3.1413,17.8727,2632.56,20.86,3.3015
16/11/18,0.99,22.596M,3.2659,18.5784,2736.27,23.12,3.3163
09/11/18,0.97,22.981M,3.3144,18.8854,2781.01,22.17,3.3842
02/11/18,0.92,22.536M,3.2446,18.5142,2723.06,20.76,3.454
26/10/18,0.93,22.008M,3.1849,18.1267,2658.69,19.57,3.3098
